Packet 160 	 Time(ns) 9.906247
Packet 161 	 Time(ns) 99.062473
Packet 162 	 Time(ns) 19.812495
Packet 163 	 Time(ns) 89.156225
Packet 164 	 Time(ns) 79.249978
Packet 165 	 Time(ns) 49.531236
Packet 166 	 Time(ns) 118.874967
Packet 167 	 Time(ns) 128.781215
Packet 168 	 Time(ns) 19.812495
Packet 169 	 Time(ns) 59.437484
Packet 170 	 Time(ns) 19.812495
Packet 171 	 Time(ns) 79.249978
Packet 172 	 Time(ns) 49.531236
Packet 173 	 Time(ns) 69.343731
Packet 174 	 Time(ns) 19.812495
Packet 175 	 Time(ns) 69.343731
Packet 176 	 Time(ns) 9.906247
Packet 177 	 Time(ns) 89.156225
Packet 178 	 Time(ns) 89.156225
Packet 179 	 Time(ns) 9.906247
Packet 180 	 Time(ns) 178.312451
Packet 181 	 Time(ns) 59.437484
Packet 182 	 Time(ns) 118.874967
Packet 183 	 Time(ns) 99.062473
Packet 184 	 Time(ns) 59.437484
Packet 185 	 Time(ns) 69.343731
Packet 186 	 Time(ns) 79.249978
Packet 187 	 Time(ns) 99.062473
Packet 188 	 Time(ns) 99.062473
Packet 189 	 Time(ns) 89.156225
Packet 190 	 Time(ns) 59.437484
Packet 191 	 Time(ns) 19.812495
Packet 192 	 Time(ns) 19.812495
Packet 193 	 Time(ns) 79.249978
Packet 194 	 Time(ns) 79.249978
Packet 195 	 Time(ns) 108.968720
Packet 196 	 Time(ns) 69.343731
Packet 197 	 Time(ns) 89.156225
Packet 198 	 Time(ns) 19.812495
Packet 199 	 Time(ns) 49.531236
Packet 200 	 Time(ns) 99.062473
Packet 201 	 Time(ns) 59.437484
Packet 202 	 Time(ns) 198.124946
Packet 203 	 Time(ns) 9.906247
Packet 204 	 Time(ns) 49.531236
Packet 205 	 Time(ns) 59.437484
Packet 206 	 Time(ns) 69.343731
Packet 207 	 Time(ns) 79.249978
Packet 208 	 Time(ns) 89.156225
Packet 209 	 Time(ns) 19.812495
Packet 210 	 Time(ns) 79.249978
Packet 211 	 Time(ns) 69.343731
Packet 212 	 Time(ns) 49.531236
Packet 213 	 Time(ns) 69.343731
Packet 214 	 Time(ns) 29.718742
Packet 215 	 Time(ns) 19.812495
Packet 216 	 Time(ns) 79.249978
Packet 217 	 Time(ns) 69.343731
Packet 218 	 Time(ns) 138.687462
Packet 219 	 Time(ns) 99.062473
Packet 220 	 Time(ns) 69.343731
Packet 221 	 Time(ns) 69.343731
Packet 222 	 Time(ns) 108.968720
Packet 223 	 Time(ns) 148.593709
Packet 224 	 Time(ns) 59.437484
Packet 225 	 Time(ns) 59.437484
Packet 226 	 Time(ns) 59.437484
Packet 227 	 Time(ns) 69.343731
Packet 228 	 Time(ns) 99.062473
Packet 229 	 Time(ns) 49.531236
Packet 230 	 Time(ns) 89.156225
Packet 231 	 Time(ns) 9.906247
Packet 232 	 Time(ns) 79.249978
Packet 233 	 Time(ns) 138.687462
Packet 234 	 Time(ns) 19.812495
Packet 235 	 Time(ns) 89.156225
Packet 236 	 Time(ns) 99.062473
Packet 237 	 Time(ns) 9.906247
Packet 238 	 Time(ns) 19.812495
Packet 239 	 Time(ns) 59.437484
Packet 240 	 Time(ns) 89.156225
Packet 241 	 Time(ns) 118.874967
Packet 242 	 Time(ns) 39.624989
Packet 243 	 Time(ns) 69.343731
Packet 244 	 Time(ns) 79.249978
Packet 245 	 Time(ns) 108.968720
Packet 246 	 Time(ns) 89.156225
Packet 247 	 Time(ns) 79.249978
Packet 248 	 Time(ns) 59.437484
Packet 249 	 Time(ns) 79.249978
Packet 250 	 Time(ns) 79.249978
Packet 251 	 Time(ns) 79.249978
Packet 252 	 Time(ns) 19.812495
Packet 253 	 Time(ns) 59.437484
Packet 254 	 Time(ns) 49.531236
Packet 255 	 Time(ns) 19.812495
Packet 256 	 Time(ns) 89.156225
Packet 257 	 Time(ns) 118.874967
Packet 258 	 Time(ns) 69.343731
Packet 259 	 Time(ns) 69.343731
Packet 260 	 Time(ns) 39.624989
Packet 261 	 Time(ns) 49.531236
Packet 262 	 Time(ns) 99.062473
Packet 263 	 Time(ns) 118.874967
Packet 264 	 Time(ns) 19.812495
Packet 265 	 Time(ns) 108.968720
Packet 266 	 Time(ns) 99.062473
Packet 267 	 Time(ns) 19.812495
Packet 268 	 Time(ns) 89.156225
Packet 269 	 Time(ns) 138.687462
Packet 270 	 Time(ns) 148.593709
Packet 271 	 Time(ns) 128.781215
Packet 272 	 Time(ns) 9.906247
Packet 273 	 Time(ns) 49.531236
Packet 274 	 Time(ns) 29.718742
Packet 275 	 Time(ns) 108.968720
Packet 276 	 Time(ns) 49.531236
Packet 277 	 Time(ns) 19.812495
Packet 278 	 Time(ns) 108.968720
Packet 279 	 Time(ns) 99.062473
Packet 280 	 Time(ns) 9.906247
Packet 281 	 Time(ns) 19.812495
Packet 282 	 Time(ns) 19.812495
Packet 283 	 Time(ns) 9.906247
Packet 284 	 Time(ns) 59.437484
Packet 285 	 Time(ns) 29.718742
Packet 286 	 Time(ns) 19.812495
Packet 287 	 Time(ns) 99.062473
Packet 288 	 Time(ns) 39.624989
Packet 289 	 Time(ns) 19.812495
Packet 290 	 Time(ns) 19.812495
Packet 291 	 Time(ns) 19.812495
Packet 292 	 Time(ns) 79.249978
Packet 293 	 Time(ns) 59.437484
Packet 294 	 Time(ns) 79.249978
Packet 295 	 Time(ns) 49.531236
Packet 296 	 Time(ns) 19.812495
Packet 297 	 Time(ns) 19.812495
Packet 298 	 Time(ns) 19.812495
Packet 299 	 Time(ns) 128.781215
Packet 300 	 Time(ns) 29.718742
Packet 301 	 Time(ns) 89.156225
Packet 302 	 Time(ns) 79.249978
Packet 303 	 Time(ns) 89.156225
Packet 304 	 Time(ns) 49.531236
Packet 305 	 Time(ns) 168.406204
Packet 306 	 Time(ns) 49.531236
Packet 307 	 Time(ns) 118.874967
Packet 308 	 Time(ns) 128.781215
